threshold,opponent,pvalue,winrate,mean_score,std_dev,a/d_move_ratio
0.0,BullyBot,0.0,0.628,66.885,9.512,0.0
0.0,RandBot,0.0,0.676,73.47,12.243,0.0
0.0,RdeepBot,0.0,0.216,66.759,8.743,0.0
0.25,BullyBot,0.0,0.608,67.533,8.858,0.144
0.25,RandBot,0.0,0.682,73.393,11.592,0.133
0.25,RdeepBot,0.0,0.228,67.702,9.005,0.159
0.5,BullyBot,0.23225,0.596,71.164,9.614,0.517
0.5,RandBot,0.0,0.664,74.042,9.781,0.525
0.5,RdeepBot,0.0,0.206,71.165,8.528,0.542
0.75,BullyBot,0.00089,0.554,73.361,6.839,0.905
0.75,RandBot,0.0,0.66,73.464,6.492,0.905
0.75,RdeepBot,0.0,0.21,73.819,8.349,0.92
1.0,BullyBot,0.00115,0.538,73.989,6.66,0.987
1.0,RandBot,0.0,0.644,73.494,6.387,0.987
1.0,RdeepBot,0.0,0.208,73.808,7.557,0.989
